key,timestamp,event,attempt
n,1718181837.7450383,keyup,11
e,1718181837.8248117,keydown,11
e,1718181837.9091828,keyup,11
t,1718181838.069328,keydown,11
t,1718181838.140536,keyup,11
u,1718181838.3316813,keydown,11
u,1718181838.3816783,keyup,11
m,1718181838.6076787,keydown,11
m,1718181838.6786747,keyup,11
i,1718181839.2571852,keydown,12
i,1718181839.329311,keyup,12
n,1718181839.5124893,keydown,12
n,1718181839.5827923,keyup,12
e,1718181839.632792,keydown,12
e,1718181839.714794,keyup,12
t,1718181839.864677,keydown,12
t,1718181839.930666,keyup,12
u,1718181840.1106675,keydown,12
u,1718181840.18168,keyup,12
m,1718181840.3826656,keydown,12
m,1718181840.4576652,keyup,12
i,1718181841.0358047,keydown,13
i,1718181841.1078022,keyup,13
n,1718181841.2978196,keydown,13
n,1718181841.378808,keyup,13
e,1718181841.442805,keydown,13
e,1718181841.5139802,keyup,13
t,1718181841.6541224,keydown,13
t,1718181841.7151163,keyup,13
u,1718181841.929083,keydown,13
u,1718181841.9810815,keyup,13
m,1718181842.181566,keydown,13
m,1718181842.2435548,keyup,13
i,1718181842.7691953,keydown,14
i,1718181842.830196,keyup,14
n,1718181843.0251896,keydown,14
n,1718181843.0961962,keyup,14
e,1718181843.1261935,keydown,14
e,1718181843.2071936,keyup,14
t,1718181843.367192,keydown,14
t,1718181843.4281905,keyup,14
u,1718181843.6041915,keydown,14
u,1718181843.6651921,keyup,14
m,1718181843.8627813,keydown,14
m,1718181843.939146,keyup,14
i,1718181844.467019,keydown,15
i,1718181844.5280259,keyup,15
n,1718181844.7094696,keydown,15
n,1718181844.7814724,keyup,15
e,1718181844.821153,keydown,15
e,1718181844.89115,keyup,15
t,1718181845.0661488,keydown,15
t,1718181845.1271508,keyup,15
u,1718181845.3280616,keydown,15
u,1718181845.3890646,keyup,15
m,1718181845.5830674,keydown,15
m,1718181845.655064,keyup,15
i,1718181846.2416773,keydown,16
i,1718181846.304109,keyup,16
n,1718181846.4780898,keydown,16
n,1718181846.548095,keyup,16
e,1718181846.598097,keydown,16
e,1718181846.6700945,keyup,16
t,1718181846.8220923,keydown,16
t,1718181846.8800974,keyup,16
u,1718181847.05378,keydown,16
u,1718181847.125781,keyup,16
m,1718181847.3257852,keydown,16
m,1718181847.3967793,keyup,16
i,1718181847.8750803,keydown,17
i,1718181847.9460766,keyup,17
n,1718181848.1310768,keydown,17
n,1718181848.2120757,keyup,17
e,1718181848.2520754,keydown,17
e,1718181848.3140743,keyup,17
t,1718181848.4858763,keydown,17
t,1718181848.5479004,keyup,17
u,1718181848.7298036,keydown,17
u,1718181848.799816,keyup,17
m,1718181848.9946702,keydown,17
m,1718181849.0666783,keyup,17
i,1718181849.6346939,keydown,18
i,1718181849.7055624,keyup,18
n,1718181849.8858097,keydown,18
n,1718181849.957804,keyup,18
e,1718181850.0405967,keydown,18
e,1718181850.1235497,keyup,18
t,1718181850.2216985,keydown,18
t,1718181850.295704,keyup,18
u,1718181850.4837055,keydown,18
u,1718181850.5387032,keyup,18
m,1718181850.7186997,keydown,18
m,1718181850.8009837,keyup,18
i,1718181851.4436746,keydown,19
i,1718181851.453677,keyup,19
n,1718181851.6519756,keydown,19
n,1718181851.7155523,keyup,19
e,1718181851.785552,keydown,19
e,1718181851.860356,keyup,19
t,1718181852.0153203,keydown,19
t,1718181852.0823872,keyup,19
u,1718181852.2724829,keydown,19
u,1718181852.337486,keyup,19
m,1718181852.5345595,keydown,19
m,1718181852.616555,keyup,19
i,1718181853.127303,keydown,20
i,1718181853.1992795,keyup,20
n,1718181853.3852777,keydown,20
n,1718181853.4552789,keyup,20
e,1718181853.4952812,keydown,20
e,1718181853.564277,keyup,20
t,1718181853.7109873,keydown,20
t,1718181853.7759957,keyup,20
u,1718181853.9597588,keydown,20
u,1718181854.0257583,keyup,20
m,1718181854.226327,keydown,20
m,1718181854.2963314,keyup,20
i,1718181854.8633857,keydown,21
i,1718181854.93439,keyup,21
n,1718181855.1217105,keydown,21
n,1718181855.1907167,keyup,21
e,1718181855.2297232,keydown,21
e,1718181855.290514,keyup,21
t,1718181855.46175,keydown,21
t,1718181855.52343,keyup,21
u,1718181855.7280998,keydown,21
u,1718181855.789487,keyup,21
m,1718181855.9797654,keydown,21
m,1718181856.0537653,keyup,21
i,1718181856.6037679,keydown,22
i,1718181856.6637673,keyup,22
n,1718181856.853826,keydown,22
n,1718181856.9285157,keyup,22
e,1718181856.9750051,keydown,22
e,1718181857.0500066,keyup,22
t,1718181857.2008755,keydown,22
t,1718181857.2615466,keyup,22
u,1718181857.4737027,keydown,22
u,1718181857.5474646,keyup,22
m,1718181857.7486627,keydown,22
m,1718181857.809537,keyup,22
i,1718181858.4474738,keydown,23
i,1718181858.5185697,keyup,23
n,1718181858.7252765,keydown,23
n,1718181858.7963285,keyup,23
e,1718181858.8768919,keydown,23
e,1718181858.9483223,keyup,23
t,1718181859.1206348,keydown,23
t,1718181859.192637,keyup,23
u,1718181859.4136004,keydown,23
u,1718181859.4746034,keyup,23
m,1718181859.7194862,keydown,23
m,1718181859.7802858,keyup,23
i,1718181860.3177378,keydown,24
i,1718181860.37909,keyup,24
n,1718181860.5931158,keydown,24
n,1718181860.6646018,keyup,24
e,1718181860.7138245,keydown,24
e,1718181860.7960906,keyup,24
t,1718181860.9671886,keydown,24
t,1718181861.0282412,keyup,24
u,1718181861.6204436,keydown,24
u,1718181861.6815755,keyup,24
m,1718181861.902841,keydown,24
m,1718181861.975425,keyup,24
i,1718181863.0308995,keydown,25
i,1718181863.0958455,keyup,25
n,1718181863.3163457,keydown,25
n,1718181863.3987956,keyup,25
e,1718181863.4383123,keydown,25
e,1718181863.51945,keyup,25
t,1718181863.8976467,keydown,25
t,1718181863.9571607,keyup,25
u,1718181864.1822233,keydown,25
u,1718181864.2526186,keyup,25
m,1718181864.49343,keydown,25
m,1718181864.5644443,keyup,25
i,1718181865.1566222,keydown,26
i,1718181865.227626,keyup,26
n,1718181865.428682,keydown,26
n,1718181865.5114522,keyup,26
e,1718181865.531978,keydown,26
e,1718181865.6245298,keyup,26
t,1718181865.8045306,keydown,26
t,1718181865.8655248,keyup,26
u,1718181866.0688388,keydown,26
u,1718181866.131506,keyup,26
m,1718181866.37289,keydown,26
m,1718181866.4441352,keyup,26
i,1718181867.0402257,keydown,27
i,1718181867.1157725,keyup,27
n,1718181867.3076458,keydown,27
n,1718181867.376969,keyup,27
e,1718181867.407959,keydown,27
e,1718181867.4879615,keyup,27
t,1718181867.6545808,keydown,27
t,1718181867.714651,keyup,27
u,1718181867.94499,keydown,27
u,1718181868.0164382,keyup,27
m,1718181868.250335,keydown,27
m,1718181868.3309138,keyup,27
i,1718181868.8694403,keydown,28
i,1718181868.93056,keyup,28
n,1718181869.1108487,keydown,28
n,1718181869.1861315,keyup,28
e,1718181869.2258644,keydown,28
e,1718181869.3172488,keyup,28
t,1718181869.4584832,keydown,28
t,1718181869.5199401,keyup,28
u,1718181869.743201,keydown,28
u,1718181869.804759,keyup,28
m,1718181869.9954822,keydown,28
m,1718181870.0666728,keyup,28
i,1718181870.5635517,keydown,29
i,1718181870.6385646,keyup,29
n,1718181870.809668,keydown,29
e,1718181870.8906782,keydown,29
n,1718181870.893667,keyup,29
e,1718181870.9916778,keyup,29
t,1718181871.1224065,keydown,29
t,1718181871.1864378,keyup,29
u,1718181871.3970358,keydown,29
u,1718181871.4688077,keyup,29
m,1718181871.65339,keydown,29
m,1718181871.7237754,keyup,29
i,1718181872.3019178,keydown,30
i,1718181872.3729844,keyup,30
n,1718181872.5537298,keydown,30
n,1718181872.624632,keyup,30
e,1718181872.6583452,keydown,30
e,1718181872.7486563,keyup,30
t,1718181872.889659,keydown,30
t,1718181872.9606915,keyup,30
u,1718181873.1756556,keydown,30
u,1718181873.226656,keyup,30
m,1718181873.4476562,keydown,30
m,1718181873.5286546,keyup,30
i,1718181874.0057921,keydown,31
i,1718181874.0667987,keyup,31
n,1718181874.2807896,keydown,31
n,1718181874.3518069,keyup,31
e,1718181874.3907897,keydown,31
e,1718181874.4725912,keyup,31
t,1718181874.633339,keydown,31
t,1718181874.7093358,keyup,31
u,1718181874.908883,keydown,31
u,1718181874.9708834,keyup,31
m,1718181875.1728811,keydown,31
m,1718181875.2457829,keyup,31
i,1718181875.7515624,keydown,32
i,1718181875.8330357,keyup,32
n,1718181876.0239336,keydown,32
e,1718181876.104096,keydown,32
n,1718181876.1080432,keyup,32
e,1718181876.1895707,keyup,32
t,1718181876.3296437,keydown,32
t,1718181876.4008334,keyup,32
u,1718181876.602174,keydown,32
u,1718181876.6529732,keyup,32
m,1718181876.8595634,keydown,32
m,1718181876.930563,keyup,32
i,1718181877.5882227,keydown,33
i,1718181877.6485603,keyup,33
n,1718181877.853579,keydown,33
n,1718181877.934781,keyup,33
e,1718181878.0054884,keydown,33
e,1718181878.0767856,keyup,33
t,1718181878.2720244,keydown,33
t,1718181878.332953,keyup,33
u,1718181878.5437615,keydown,33
u,1718181878.6043298,keyup,33
m,1718181878.800253,keydown,33
m,1718181878.8712533,keyup,33
i,1718181879.8363786,keydown,34
i,1718181879.9075727,keyup,34
n,1718181880.0784342,keydown,34
n,1718181880.1596425,keyup,34
e,1718181880.1891928,keydown,34
e,1718181880.2636998,keyup,34
t,1718181880.3447027,keydown,34
t,1718181880.4136992,keyup,34
u,1718181880.6045442,keydown,34
u,1718181880.6660342,keyup,34
m,1718181880.8398142,keydown,34
m,1718181880.9118958,keyup,34
i,1718181881.5517051,keydown,35
i,1718181881.6220279,keyup,35
n,1718181881.7950366,keydown,35
n,1718181881.8660073,keyup,35
e,1718181881.936002,keydown,35
e,1718181882.0183222,keyup,35
t,1718181882.127892,keydown,35
t,1718181882.1989062,keyup,35
u,1718181882.3937142,keydown,35
u,1718181882.4554603,keyup,35
m,1718181882.68601,keydown,35
m,1718181882.7510214,keyup,35
i,1718181883.8939483,keydown,36
i,1718181883.9569535,keyup,36
n,1718181884.1572642,keydown,36
n,1718181884.2322123,keyup,36
e,1718181884.2922103,keydown,36
e,1718181884.373211,keyup,36
t,1718181884.4532182,keydown,36
t,1718181884.5142186,keyup,36
u,1718181884.7148416,keydown,36
u,1718181884.7859159,keyup,36
m,1718181884.9903896,keydown,36
m,1718181885.041555,keyup,36
i,1718181885.6074705,keydown,37
i,1718181885.6794665,keyup,37
n,1718181885.8844662,keydown,37
n,1718181885.9464786,keyup,37
e,1718181886.0055797,keydown,37
e,1718181886.0766907,keyup,37
t,1718181886.1867135,keydown,37
t,1718181886.2506897,keyup,37
u,1718181886.4818368,keydown,37
u,1718181886.5439994,keyup,37
m,1718181886.758537,keydown,37
m,1718181886.8194945,keyup,37
i,1718181887.3564448,keydown,38
i,1718181887.4179313,keyup,38
n,1718181887.6187627,keydown,38
n,1718181887.6906128,keyup,38
e,1718181887.7841015,keydown,38
e,1718181887.855395,keyup,38
t,1718181887.9857013,keydown,38
t,1718181888.046832,keyup,38
u,1718181888.2613807,keydown,38
u,1718181888.312663,keyup,38
m,1718181888.5634627,keydown,38
m,1718181888.624485,keyup,38
i,1718181889.328465,keydown,39
i,1718181889.3891535,keyup,39
n,1718181889.580252,keydown,39
n,1718181889.6515605,keyup,39
e,1718181889.7106054,keydown,39
e,1718181889.7862597,keyup,39
t,1718181889.9065688,keydown,39
t,1718181889.967498,keyup,39
u,1718181890.167869,keydown,39
u,1718181890.2388628,keyup,39
m,1718181890.4744494,keydown,39
m,1718181890.5455153,keyup,39
i,1718181891.1316302,keydown,40
i,1718181891.1929436,keyup,40
n,1718181891.4882562,keydown,40
n,1718181891.5693405,keyup,40
e,1718181891.8142982,keydown,40
e,1718181891.8862934,keyup,40
t,1718181892.087508,keydown,40
t,1718181892.1490216,keyup,40
u,1718181892.3830051,keydown,40
u,1718181892.4333727,keyup,40
m,1718181892.685649,keydown,40
m,1718181892.7456212,keyup,40
i,1718181893.2828004,keydown,41
i,1718181893.3477917,keyup,41
n,1718181893.569147,keydown,41
n,1718181893.6414568,keyup,41
e,1718181893.7707126,keydown,41
e,1718181893.8575242,keyup,41
t,1718181894.027666,keydown,41
t,1718181894.0787838,keyup,41
u,1718181894.3130293,keydown,41
u,1718181894.3643634,keyup,41
m,1718181894.585052,keydown,41
m,1718181894.645786,keyup,41
i,1718181895.1950085,keydown,42
i,1718181895.2653832,keyup,42
n,1718181895.4693856,keydown,42
n,1718181895.5403845,keyup,42
e,1718181895.6809459,keydown,42
e,1718181895.7621222,keyup,42
t,1718181895.95691,keydown,42
t,1718181896.0180552,keyup,42
u,1718181896.279299,keydown,42
u,1718181896.3337553,keyup,42
m,1718181896.54552,keydown,42
m,1718181896.6069298,keyup,42
i,1718181897.1216342,keydown,43
i,1718181897.1926246,keyup,43
n,1718181897.417579,keydown,43
n,1718181897.4790773,keyup,43
e,1718181897.6097689,keydown,43
e,1718181897.690545,keyup,43
t,1718181897.8347023,keydown,43
t,1718181897.8970208,keyup,43
u,1718181898.1079059,keydown,43
u,1718181898.1691396,keyup,43
m,1718181898.4235194,keydown,43
m,1718181898.4844375,keyup,43
i,1718181899.0645697,keydown,44
i,1718181899.1354144,keyup,44
n,1718181899.3506289,keydown,44
n,1718181899.4213767,keyup,44
e,1718181899.5114307,keydown,44
e,1718181899.592972,keyup,44
t,1718181899.7441838,keydown,44
t,1718181899.8053014,keyup,44
u,1718181900.0204751,keydown,44
u,1718181900.0815535,keyup,44
m,1718181900.3464105,keydown,44
m,1718181900.4087834,keyup,44
i,1718181900.9556289,keydown,45
i,1718181901.0166287,keyup,45
n,1718181901.2274404,keydown,45
n,1718181901.298881,keyup,45
e,1718181901.3820977,keydown,45
e,1718181901.4627204,keyup,45
t,1718181901.5931606,keydown,45
t,1718181901.6649492,keyup,45
u,1718181901.8996832,keydown,45
u,1718181901.96148,keyup,45
m,1718181902.1926255,keydown,45
m,1718181902.2536256,keyup,45
i,1718181903.3492491,keydown,46
i,1718181903.4146273,keyup,46
n,1718181903.6556697,keydown,46
n,1718181903.7371914,keyup,46
e,1718181903.7779193,keydown,46
e,1718181903.8730962,keyup,46
t,1718181904.1454384,keydown,46
t,1718181904.2064433,keyup,46
u,1718181904.4414802,keydown,46
u,1718181904.5128095,keyup,46
m,1718181904.7433064,keydown,46
m,1718181904.8151157,keyup,46
i,1718181905.4163535,keydown,47
i,1718181905.477451,keyup,47
n,1718181905.6680856,keydown,47
n,1718181905.74017,keyup,47
e,1718181905.8011374,keydown,47
e,1718181905.8848996,keyup,47
t,1718181906.0067704,keydown,47
t,1718181906.0677269,keyup,47
u,1718181906.298611,keydown,47
u,1718181906.3496087,keyup,47
m,1718181906.6047153,keydown,47
m,1718181906.657689,keyup,47
i,1718181907.4400148,keydown,48
i,1718181907.5099382,keyup,48
n,1718181907.70095,keydown,48
n,1718181907.7823768,keyup,48
e,1718181907.8220284,keydown,48
e,1718181907.90703,keyup,48
t,1718181908.0272617,keydown,48
t,1718181908.0883675,keyup,48
u,1718181908.3098722,keydown,48
u,1718181908.3707943,keyup,48
m,1718181908.5798302,keydown,48
m,1718181908.6388297,keyup,48
i,1718181909.1748893,keydown,49
i,1718181909.2368996,keyup,49
n,1718181909.4318922,keydown,49
n,1718181909.5028915,keyup,49
e,1718181909.5418892,keydown,49
e,1718181909.62589,keyup,49
t,1718181909.7368953,keydown,49
t,1718181909.8039315,keyup,49
u,1718181910.05089,keydown,49
u,1718181910.1118922,keyup,49
m,1718181910.3422253,keydown,49
m,1718181910.417237,keyup,49
